date_update,provinsi,kabupaten_kota,kecamatan        ,kelurahan,alamat  ,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link,,,
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Banjarkulon,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Banjarmangu,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Beji       ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Gripit     ,      ,0        ,0        ,1            ,1             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Jenggawur  ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kalilunjar ,      ,0        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kendaga    ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Kesenet    ,      ,0        ,2        ,2            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Paseh      ,      ,2        ,0        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Pekandangan,      ,0        ,0        ,2            ,2             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Prendengan ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
2020/09/04,Jawa Tengah,Banjarnegara,Banjarmangu      ,Rejasari   ,      ,0        ,1        ,0            ,0             ,0              ,               ,0                ,0        ,         ,        ,          ,http://corona.banjarnegarakab.go.id/,,,      
