date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Cobean             ,     ,   11   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Tempuran           ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Donorejo           ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Demak    ,Mangunjiwan        ,     ,   32   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonowoso       ,     ,   7    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Sampang        ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Tambak Bulusan ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Pulosari       ,     ,   10   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Rejosari       ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Ploso          ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonokerto      ,     ,   7    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Karangsari     ,     ,   21   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Batu           ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Donorejo       ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Kedung Uter    ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Karanglowo     ,     ,   8    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Wonoagung      ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Klitih         ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Grogol         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Pidodo         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karang Tengah,Dukun          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Kedondong          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Banjarsari         ,     ,   5    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Gajah              ,     ,   16   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sari               ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Boyolali           ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Jatisono           ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sambirolo          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tiogo Pandogan     ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
