date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
16/09/2020,Jawa Tengah,Kudus       ,Bae        ,       ,      ,1        ,         ,138          ,100           ,6              ,11             ,21               ,         ,107      ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Dawe       ,       ,      ,11       ,         ,100          ,59            ,6              ,22             ,13               ,         ,8        ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Gebog      ,       ,      ,8        ,         ,68           ,44            ,4              ,10             ,10               ,         ,6        ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Jati       ,       ,      ,14       ,         ,271          ,209           ,14             ,18             ,30               ,         ,110      ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Jekulo     ,       ,      ,23       ,         ,205          ,154           ,7              ,16             ,28               ,         ,32       ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Kaliwungu  ,       ,      ,4        ,         ,148          ,113           ,4              ,14             ,17               ,         ,14       ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Kota Kudus ,       ,      ,9        ,         ,209          ,150           ,11             ,12             ,36               ,         ,8        ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Mejobo     ,       ,      ,9        ,         ,139          ,98            ,9              ,10             ,22               ,         ,100      ,        ,          ,https://corona.kuduskab.go.id/
16/09/2020,Jawa Tengah,Kudus       ,Undaan     ,       ,      ,11       ,         ,97           ,78            ,3              ,11             ,5                ,         ,208      ,        ,          ,https://corona.kuduskab.go.id/
